iteration,qd_score,coverage,max_fitness,time
0.0,2981.3438,5.2734375,198.54233,2.7176204
1.0,5126.2173,8.691406,198.54233,1.1149106
2.0,7322.604,11.9140625,198.54233,1.08161
3.0,8820.479,14.160156,198.54233,1.0099595
4.0,10867.514,17.578125,198.54233,1.0139468
5.0,13346.928,21.484375,198.54233,1.0323682
6.0,15358.577,24.804688,198.54233,1.0373476
7.0,17597.559,29.003906,198.54233,0.9987252
8.0,20225.105,32.8125,198.94386,1.2982802
9.0,22245.41,35.44922,198.94386,0.9940717
10.0,24346.113,38.476562,198.94386,0.9982836
11.0,25896.887,40.820312,198.94386,0.9961095
12.0,28002.664,43.847656,198.94386,0.9954965
13.0,29354.62,46.58203,198.94386,0.9954784
14.0,30222.355,47.851562,198.94386,0.99282026
15.0,31511.496,49.804688,198.94386,0.99405384
16.0,32496.703,51.367188,198.94386,0.9962206
17.0,33427.83,52.734375,198.94386,0.9973099
18.0,34141.47,54.296875,198.94386,0.9964073
19.0,34808.67,55.273438,198.94386,0.9933846
20.0,35371.598,55.95703,198.94386,0.9986334
21.0,36007.742,56.73828,198.94386,1.1210091
22.0,36622.523,57.421875,198.94386,1.0096624
23.0,37215.75,58.203125,198.94386,1.1712289
24.0,37348.227,58.398438,198.94386,0.9952328
25.0,37970.15,59.472656,198.94386,1.0035379
26.0,38395.97,59.960938,198.94386,1.0106473
27.0,38784.58,60.546875,198.94386,1.1889098
28.0,38937.5,60.9375,198.94386,1.4037302
29.0,39195.64,61.23047,198.94386,1.5197375
30.0,39525.066,61.816406,198.94386,1.5474191
31.0,39864.008,62.304688,198.94386,1.4658129
32.0,39938.71,62.304688,198.94386,1.1454561
33.0,40154.9,62.597656,198.94386,1.0017288
34.0,40465.906,63.085938,198.9926,1.0736208
35.0,40946.28,63.867188,198.9926,1.0284753
36.0,41073.43,63.964844,198.9926,1.0196497
37.0,41715.785,64.84375,198.9926,0.99884224
38.0,41979.133,65.234375,198.9926,1.0036314
39.0,42275.29,65.33203,198.9926,1.3625474
40.0,42743.79,65.82031,198.9926,1.1206195
41.0,42843.77,65.82031,198.9926,1.0160518
42.0,43021.6,66.015625,198.9926,0.99680734
43.0,43383.7,66.40625,198.9926,1.0125809
44.0,43653.645,66.60156,198.9926,1.0196638
45.0,44067.547,67.08984,198.9926,1.0010202
46.0,44262.938,67.28516,198.9926,0.9985993
47.0,44453.836,67.38281,198.9926,1.0048597
48.0,44804.125,67.578125,198.9926,0.9970279
49.0,45057.938,67.77344,198.9926,0.99801207
50.0,45558.71,68.65234,198.9926,0.9980283
51.0,45712.688,68.94531,198.9926,0.9920213
52.0,46000.383,69.33594,198.9926,0.98914075
53.0,46100.223,69.53125,198.9926,0.9926429
54.0,46195.844,69.53125,199.19417,1.036164
